classe,pixelsColored
TG02,2157
1G01,1044
TG03,51
1G02,248
TG08,371
2GT05,10
TG01,886
TG07,69
TG04,366
1G07,219
1G04,491
Autres,1283
TG05,1227
2GT06,288
2GT03,130
1G03,15
2GT02,201
1G09,1977
2GT04,0
TG06,384
2GT08,19
1G08,356
2GT09,120
2GT01,35
